step	node_id	x	y	degree	neighbors	cc_id	cc_size	com_id	com_score	com_size
0	_h5_4421	14090.68	20246.58	1	_h5_4608,	112	3	16	0.8999999999999999	3
0	_h5_4420	19079.78	23686.67	0		235	1	7	1.0	1
0	_h5_4427	40372.69	26912.79	0		236	1	1	1.0	1
0	_h5_4426	19439.73	10196.97	0		237	1	484	1.0	1
0	_h5_4425	20003.2	12811.23	1	_h5_4417,	238	2	59	1.0	2
0	_h5_4417	20006.66	12811.6	1	_h5_4425,	238	2	59	0.95	2
0	_h5_4424	32013.44	26278.62	1	_h5_4407,	239	2	87	0.95	2
0	_h5_4407	32065.77	26295.11	1	_h5_4424,	239	2	87	1.0	2
0	_h5_4450	22300.71	18839.03	1	_h5_4457,	240	2	247	0.95	2
0	_h5_4457	22267.01	18850.63	1	_h5_4450,	240	2	247	1.0	2
0	_h5_4451	23202.59	21365.24	1	_h5_4452,	241	2	228	1.0	2
0	_h5_4452	23131.1	21391.42	1	_h5_4451,	241	2	228	0.95	2
0	_h5_4750	32200.82	23908.46	0		242	1	67	1.0	1
0	_h6_19	9954.01	19589.47	0		243	1	462	1.0	1
0	_h5_4760	22576.58	28100.72	0		244	1	165	1.0	1
0	_h5_4759	14726.38	25240.19	0		245	1	444	1.0	1
0	_h5_4758	37647.37	16844.52	0		246	1	296	1.0	1
0	_h5_4761	42373.42	30618.21	0		247	1	36	1.0	1
0	_h6_4	21265.47	36162.46	1	_h6_124,	248	2	312	0.95	2
0	_h6_124	21237.08	36209.48	1	_h6_4,	248	2	312	1.0	2
0	_h6_91	11180.1	12414.21	0		249	1	285	1.0	1
0	_h6_90	22025.74	11714.66	1	_h6_114,	250	2	423	0.95	2
0	_h6_114	22027.36	11704.76	1	_h6_90,	250	2	423	1.0	2
0	_h6_95	20528.35	21960.45	0		251	1	19	1.0	1
0	_h6_94	16190.89	33330.57	0		252	1	125	1.0	1
0	_h6_97	17827.38	23761.64	0		253	1	65	1.0	1
0	_h6_148	14876.46	10019.47	0		254	1	166	1.0	1
0	_h6_149	33827.32	18619.94	1	_h6_115,	75	3	197	0.95	3
0	_h6_146	19573.93	28273.26	1	_h6_79,	208	3	456	0.95	3
0	_h6_144	26441.55	14510.93	0		255	1	508	1.0	1
